celltype,design,gene,lfc,padj
Endo,~arm + pmi + grp,EDN3,-1.8075,0.4939560319082957
Endo,~sex + arm + pmi + grp,PRSS3,-1.8205,0.5861928530245806
Endo,~sex + arm + pmi + grp,APOD,3.0809,0.17348461084545977
Endo,~sex + arm + pmi + grp,PLAT,-1.9861,0.2371078405809838
Endo,~sex + arm + pmi + grp,KDR,-0.9853,0.788012592205343
Endo,~sex + arm + pmi + grp,LAMA4,-0.6681,0.860595180211891
Endo,~sex + arm + pmi + grp,KITLG,-1.1373,0.8672198650489323
Endo,~sex + arm + pmi + grp,EFEMP1,1.9939,0.8616057948979475
Endo,~sex + arm + pmi + grp,DKK2,3.4637,0.8319823631589427
Endo,~sex + arm + pmi + grp,MMP28,-1.7678,0.6479895535795503
Endo,~sex + arm + pmi + grp,APP,-0.4637,0.7918717949832977
Endo,~sex + arm + pmi + grp,EDN3,-0.9117,0.9457960447798699
Endo,~logncell + grp,PRSS3,-2.6182,0.0017502576994934652
Endo,~logncell + grp,APOD,3.0752,0.009267145170270929
Endo,~logncell + grp,PLAT,-1.8197,0.009267145170270929
Endo,~logncell + grp,KDR,-1.2937,0.04678457445461262
Endo,~logncell + grp,LAMA4,-1.0835,0.08885146590353589
Endo,~logncell + grp,KITLG,-1.7749,0.1420586785700849
Endo,~logncell + grp,EFEMP1,2.726,0.15282251998826724
Endo,~logncell + grp,DKK2,4.6422,0.04678457445461262
Endo,~logncell + grp,MMP28,-1.6844,0.15088130909962916
Endo,~logncell + grp,APP,-0.6467,0.04678457445461262
Endo,~logncell + grp,EDN3,-1.6857,0.22649418442676517
