EntrezGeneSymbol,Estimate
CA4,0.002625626030880962
CA5A,0.0004590323352545192
CA5B,0.0006327165918119608
CA6,-0.0007280729381642248
CA7,-9.518086021920912e-05
CA8,0.0002214039892428101
CA9,-7.090977755805915e-05
CAB39,0.005168113205187667
CAB39L,0.003808453710203008
CABLES2,0.0007659980960305249
CABP2,0.0002392084423692197
CABP5,2.090928267092654e-05
CABP7,0.0005916711471757061
CACNA2D3,0.004322637352714731
CACNB3,0.0008588483955946351
CACNB4,0.0002731683054338322
CACYBP,0.0026976010972171
CADM1,0.001844102788587176
CADM2,0.002359238381376578
CADM3,0.002820276090235457
CADPS2,-0.0001536492072248201
CALB1,-0.000389005257510804
CALB2,0.003648021374134007
CALCB,0.001530110274427705
CALCOCO2,0.003001558453616193
CALCR,-0.0001680592367069748
CALN1,-0.0001648089963508801
CALR,-0.0006229052320179603
CALY,0.003904842612485872
CAMK1,0.0006816844228229221
CAMK1D,-5.858930945565078e-05
CAMK2A,7.11334248642401e-05
CAMK2B,0.0005560862452284452
CAMK2D,-0.0001694670408134744
CAMK2N2,0.002319325626325847
CAMK4,0.0005383621238372902
CAMKK1,6.409850846896273e-05
CAMLG,0.0005595782451010952
CAMP,-0.001064320488931981
CAND1,0.00550771828247862
CANT1,0.001892630277479244
CANX,-0.0001081846947906977
CAPG,0.002909308218854888
CAPN13,0.0012892522604648
CAPN1|CAPNS1,0.005454945837105522
CAPN2,0.001987534264910219
CAPN3,-0.0005942194235622122
CAPN9,0.002510224347721194
CAPNS1,0.006862759254657211
CAPNS2,0.0003854288135654671
CAPS,0.002563698268070487
CAPSL,-0.0001669041622093288
CAPZB,0.0001867734522446662
CARD17,-1.484534112687472e-05
CARD18,-0.0007623536647820713
CARD19,-0.0001214190416584482
CARD9,-0.00058292563628021
CARHSP1,0.0007591856074730682
CARNMT1,8.877487821423461e-05
CARS1,0.0002542859043797667
CARTPT,-0.0009972194285840074
CASK,0.0005112545423581147
CASP10,0.001327519519064196
CASP2,-0.0002344018201841137
CASP3,0.000670063073170689
CASP4,-4.263715494952445e-05
CASP5,9.962373531481478e-05
CASP7,-0.0001915401613872237
CASP8,-0.0001045281888679325
CASQ1,0.001341651743945161
CASQ2,0.0006315830257794684
CASS4,-0.000188296168237271
CAST,0.00210625854409384
CASTOR1,0.0002267499843836414
CATIP,-0.0002636037450918871
CAV2,0.0001636790975047199
CAV3,-9.327449966797342e-05
CAVIN1,-0.0004769424877895391
CBARP,2.445208951801391e-05
CBFB,-0.0005568856953871214
CBL,0.003884046251584189
CBLC,-0.0002590761816563606
CBLIF,0.0006042726967207848
CBLN1,0.0007661518583215297
CBLN2,-0.0001882655610987299
CBLN4,0.002335141365848141
CBR1,0.004410166306342981
CBR3,0.002955717880441469
CBR4,0.0003477811315481585
CBS,0.0004565164613946328
CBX1,0.0005606953521139379
CBX2,-5.67370584666774e-05
CBX3,-0.0007655350386359175
CBX5,-0.0002479842791594242
CBX7,-7.936399301551883e-05
CCDC103,1.552331773728559e-06
CCDC115,-8.796841029553962e-05
CCDC126,0.0002706093932391247
CCDC134,0.002624923751184777
CCDC140,-9.596770812868843e-05
CCDC149,-8.63765322194825e-05
CCDC167,0.0001145445010042764
CCDC24,0.001665863652162451
CCDC25,9.272714943275416e-05
CCDC43,0.0007854231683321158
CCDC50,0.002116100427267842
CCDC51,-0.0001109999957730308
CCDC59,-0.0002298221229215271
CCDC69,0.001605981094326995
CCDC80,0.006381004398549587
CCDC89,0.0001850102634994018
CCDC9,0.0002365574211453686
CCDC90B,-0.0002374266974609156
CCDC92,-0.0001853484406005627
CCDC97,-0.0002120189258784039
CCK,0.005297099515151907
CCL1,0.0008041693888284034
CCL11,0.00020047727091092
CCL13,-0.001087180399828479
CCL14,0.008561046176646662
CCL15,0.007290053578031423
CCL16,0.004060103984644421
CCL17,8.624202240623983e-05
CCL18,0.005616340885933786
CCL19,0.0007884077338136838
CCL2,0.0003349917142549738
CCL20,6.153952475109153e-05
CCL21,0.0008919548909949115
CCL22,0.001284519938194436
CCL23,0.005457886627625598
CCL24,-0.0002279077038439093
CCL25,-0.0002614628929430957
CCL26,-9.322180249563937e-05
CCL27,-0.0004041028092535214
CCL28,0.001142596669719698
CCL3,-0.0001505686000551408
CCL3L1,0.0002896104180549466
CCL4L1,0.0001386939221104079
CCL5,-0.001154416669881044
CCL7,-0.0006199091805482007
CCL8,4.470513181517373e-05
CCM2,0.0008070530459755787
CCN1,-0.0009927735377288083
CCN2,-0.0003274275678880466
CCN3,-0.0005547944147129488
CCN4,0.0004199821894349212
CCN5,0.01017395022390351
CCN6,0.0001310684806702564
CCNA1,-0.0002406215483072581
CCNA2,-0.0001872933796277271
CCNB1,-0.0001520157017226672
CCNB1IP1,2.406244382275059e-05
CCNB2,2.009207838323344e-05
CCNE1,-0.000790409804780067
CCNH,-0.0009107728167274938
