tf,donor,group,center_n,flank_n,win_n,dtot,n,fp_depth,access,celltype
NFKB1,15,HA,15081,95417,189079,5504242,28431,-0.0424124613929954,1.20824120222905,Endo
NFKB1,16,HA,2551,16293,32378,897310,28431,-0.0285473002198173,1.26915707654902,Endo
NFKB1,28,HA,1904,12991,25432,944074,28431,0.0653520172544631,0.94750681497164,Endo
NFKB1,29,YA,3588,22518,44746,1442658,28431,-0.0537153503454137,1.09093454608692,Endo
NFKB1,30,YA,2915,18539,36536,914812,28431,-0.0346465721140989,1.40474343282957,Endo
NFKB1,32,HA,831,4970,9793,322474,28431,-0.119052671643763,1.068141809051,Endo
NFKB1,35,HA,13164,83964,166070,6002596,28431,-0.0307689683311717,0.973105519336871,Endo
NFKB1,37,HA,441,2760,5455,209548,28431,-0.0543022964379132,0.91562807268122,Endo
NFKB1,39,YA,1233,7488,14823,410382,28431,-0.0990280376928336,1.27044441853571,Endo
NFKB1,43,YA,1457,8599,17108,641290,28431,-0.139722241756862,0.938323597762549,Endo
NFKB1,44,HA,2263,13586,27126,865392,28431,-0.116539265013475,1.10250545249302,Endo
NFKB1,45,YA,7166,44519,88709,3164364,28431,-0.0685302873870879,0.986027694634254,Endo
NFKB1,47,YA,343,2097,4172,233616,28431,-0.0841188815343762,0.628130064554595,Endo
RELA,2,YA,733,5456,10752,427878,33990,0.184632460995584,0.73929562132737,Endo
RELA,7,YA,1036,8162,16032,609070,33990,0.266617713400235,0.774407108686284,Endo
RELA,11,HA,3093,22985,44860,2103624,33990,0.187834641113549,0.627393460599026,Endo
RELA,14,HA,363,2558,4973,181186,33990,0.104385559844236,0.80750023495123,Endo
RELA,15,HA,10428,78436,152990,5504242,33990,0.206466537686491,0.817738339742683,Endo
RELA,16,HA,1678,12724,24786,897310,33990,0.21503642223688,0.81266727758026,Endo
