"tf","celltype","contrast","dz","p","padj"
"FOXC1","Astro","HAvYA",0.00546662703995171,0.968994224130238,0.995976016570843
"FOXC2","Astro","HAvYA",0.0462423807689693,0.731152040331222,0.979336604887158
"FOXO4","Astro","HAvYA",0.00320029041685741,0.981068438697591,0.995976016570843
"FOXO6","Astro","HAvYA",0.00320029041685741,0.981068438697591,0.995976016570843
"FOXP3","Astro","HAvYA",0.00320029041685741,0.981068438697591,0.995976016570843
"RXRB","Astro","HAvYA",-0.011057175022428,0.899760329788649,0.991149663849938
"RXRG","Astro","HAvYA",-0.0611419899166523,0.499824201246812,0.979336604887158
"TP63","Astro","HAvYA",-0.0196023546330762,0.575869397360152,0.979336604887158
"TP53","Astro","HAvYA",0.00211078983194074,0.968109798453125,0.995976016570843
"TP73","Astro","HAvYA",-0.0133886246174403,0.819542619542284,0.981315537512654
"GMEB2","Astro","HAvYA",0.0847908917530504,0.309941293981772,0.979336604887158
"MTF1","Astro","HAvYA",-0.0829248154223938,0.313742810613518,0.979336604887158
"E2F1","Astro","HAvYA",0.0115817199436445,0.774251054919,0.979336604887158
"E2F8","Astro","HAvYA",-0.0147176313503362,0.866003082633399,0.988541523911787
"SOX21","Astro","HAvYA",-0.018273644887738,0.805033860800547,0.979336604887158
"TFAP2A(var.3)","Astro","HAvYA",-0.0668878642298383,0.573151797043345,0.979336604887158
"ELK1","Astro","HAvYA",-0.106414611077726,0.393932591697623,0.979336604887158
"HOXD12","Astro","HAvYA",-0.0456810672693028,0.462451474634979,0.979336604887158
"BARX1","Astro","HAvYA",-0.0749034024381307,0.486207982367487,0.979336604887158
"BSX","Astro","HAvYA",-0.111904527076066,0.543536548269834,0.979336604887158
"DLX6","Astro","HAvYA",-0.0195168598519757,0.867883672806425,0.988541523911787
"DUXA","Astro","HAvYA",-0.0433615558939078,0.646828580331285,0.979336604887158
"EMX2","Astro","HAvYA",-0.141787945126364,0.484736136368711,0.979336604887158
"EVX1","Astro","HAvYA",-0.121299671732149,0.357876241339439,0.979336604887158
"EVX2","Astro","HAvYA",-0.128872811521553,0.401478650662355,0.979336604887158
"GBX1","Astro","HAvYA",-0.155976018287255,0.492825308594459,0.979336604887158
"GBX2","Astro","HAvYA",-0.112884057763402,0.632239122058751,0.979336604887158
"GSC2","Astro","HAvYA",-0.0465185177399078,0.601236680649888,0.979336604887158
"GSX1","Astro","HAvYA",-0.164036432593083,0.507725429930881,0.979336604887158
"HESX1","Astro","HAvYA",-0.109205933663892,0.586138527227616,0.979336604887158
"HMBOX1","Astro","HAvYA",-0.0283074716750953,0.694846026953157,0.979336604887158
"HOXA10","Astro","HAvYA",0.0576894120126474,0.580861991204682,0.979336604887158
"HOXB3","Astro","HAvYA",-0.167052362037627,0.378594586176795,0.979336604887158
"HOXC10","Astro","HAvYA",-0.0719719947709778,0.314251199943576,0.979336604887158
"HOXC12","Astro","HAvYA",-0.0312041842724893,0.585341545395543,0.979336604887158
"HOXC13","Astro","HAvYA",-0.0656854815955983,0.402712948861715,0.979336604887158
"HOXD11","Astro","HAvYA",-0.0510801664673236,0.392071214957494,0.979336604887158
"ISL2","Astro","HAvYA",-0.102392594714088,0.282972873807322,0.979336604887158
"FOXK1","Astro","HAvYA",-0.0127551855077393,0.907464698838909,0.992613754768314
"GATA2","Astro","HAvYA",-0.175947512402707,0.325907000521522,0.979336604887158
"HIF1A","Astro","HAvYA",0.0345836411605503,0.643858985257473,0.979336604887158
"MYC","Astro","HAvYA",-0.00205124645522255,0.985454981726864,0.995976016570843
"MYB","Astro","HAvYA",-0.107053138472289,0.228656860535351,0.979336604887158
"MYCN","Astro","HAvYA",0.0248143127167151,0.796887372386367,0.979336604887158
"NEUROD1","Astro","HAvYA",-0.317659376497363,0.169718854512038,0.979336604887158
"NFIC","Astro","HAvYA",0.155346937325958,0.544845010651754,0.979336604887158
"NFYA","Astro","HAvYA",-0.182965612167601,0.133636024728642,0.979336604887158
"NR1H4","Astro","HAvYA",0.0419760240101316,0.53194981304314,0.979336604887158
"NR2F2","Astro","HAvYA",-0.0744167501465547,0.499987356474054,0.979336604887158
"PAX5","Astro","HAvYA",0.00724348018559362,0.932183031132234,0.995976016570843
"PBX3","Astro","HAvYA",-0.0447113219224804,0.748178268407014,0.979336604887158
"POU5F1","Astro","HAvYA",-0.210292379098474,0.143040428177519,0.979336604887158
"RBPJ","Astro","HAvYA",-0.153624734492466,0.313890441409101,0.979336604887158
"RELB","Astro","HAvYA",-0.0403906153660368,0.633558834239663,0.979336604887158
"SIX1","Astro","HAvYA",-0.0401177662178734,0.656226962571476,0.979336604887158
"SIX2","Astro","HAvYA",0.0106239410529801,0.915744924266145,0.992613754768314
"SOX10","Astro","HAvYA",-0.0305594077491893,0.71507558107053,0.979336604887158
"SOX13","Astro","HAvYA",-0.0832454933353937,0.62747763758323,0.979336604887158
"TEAD2","Astro","HAvYA",0.107754114158303,0.297039960066629,0.979336604887158
"TFDP1","Astro","HAvYA",-0.0265905007118645,0.815340269787571,0.979336604887158
"ZBTB7A","Astro","HAvYA",-0.137675593609743,0.162394205049441,0.979336604887158
"ZEB1","Astro","HAvYA",-0.0561345587182206,0.807408948047312,0.979336604887158
