"motif","tf","celltype","dz","p","padj"
"MA0634.1","ALX3","Astro",-0.0891938048868184,0.742986425339367,1
"MA0635.1","BARHL2","Astro",-0.0435114390925664,0.4234471410942,1
"MA0636.1","BHLHE41","Astro",0.0488622476202961,0.370382558617853,1
"MA0637.1","CENPB","Astro",-0.00229681981738539,0.672974084738791,1
"MA0638.1","CREB3","Astro",0.0752901199279919,0.672974084738791,1
"MA0639.1","DBP","Astro",-0.0169787708632131,0.962566844919786,1
"MA0641.1","ELF4","Astro",-0.124642019124049,0.276593994241053,1
"MA0136.2","ELF5","Astro",-0.164678735920221,0.074454956807898,1
"MA0027.2","EN1","Astro",-0.0988141953944845,0.888358700123406,1
"MA0642.1","EN2","Astro",-0.122240253098349,0.742986425339367,1
"MA0644.1","ESX1","Astro",-0.12850835153961,0.672974084738791,1
"MA0645.1","ETV6","Astro",-0.190509428952298,0.0592348827642945,1
"MA0475.2","FLI1","Astro",-0.0959748581409706,0.370382558617853,1
"MA0042.2","FOXI1","Astro",0.0495869299985648,0.962566844919786,1
"MA0033.2","FOXL1","Astro",0.0495869299985648,0.962566844919786,1
"MA0157.2","FOXO3","Astro",0.0107023317334393,0.672974084738791,1
"MA0646.1","GCM1","Astro",-0.0202123537220915,0.480707527766351,1
"MA0647.1","GRHL1","Astro",0.0589726377674369,0.672974084738791,1
"MA0648.1","GSC","Astro",-0.0117411005050018,0.742986425339367,1
"MA0649.1","HEY2","Astro",0.0804493008750539,0.480707527766351,1
"MA0131.2","HINFP","Astro",0.10169909011507,0.742986425339367,1
"MA0046.2","HNF1A","Astro",0.0603655641929736,1,1
"MA0153.2","HNF1B","Astro",0.0475712775268096,0.888358700123406,1
"MA0651.1","HOXC11","Astro",0.0185877754700422,0.814808720691074,1
"MA0486.2","HSF1","Astro",0.133396111288658,0.541423282599753,1
"MA0652.1","IRF8","Astro",0.0999346524892656,0.541423282599753,1
"MA0653.1","IRF9","Astro",0.139334285230353,0.4234471410942,1
"MA0654.1","ISX","Astro",-0.174270720148964,0.888358700123406,1
"MA0655.1","JDP2","Astro",0.493798131804593,0.672974084738791,1
"MA0656.1","JDP2(var.2)","Astro",0.152302334195486,0.605841217605923,1
"MA0657.1","KLF13","Astro",0.0128072250424177,0.888358700123406,1
"MA0658.1","LHX6","Astro",-0.0994605818962253,0.672974084738791,1
"MA0660.1","MEF2B","Astro",0.0466805459984956,0.672974084738791,1
"MA0661.1","MEOX1","Astro",-0.11009081770709,0.742986425339367,1
"MA0662.1","MIXL1","Astro",-0.0774410599022273,0.742986425339367,1
"MA0663.1","MLX","Astro",0.122193876931484,0.16717400246812,1
"MA0664.1","MLXIPL","Astro",0.0825344239915932,0.276593994241053,1
"MA0665.1","MSC","Astro",-0.0948832298559527,0.4234471410942,1
"MA0666.1","MSX1","Astro",-0.108816239639746,0.888358700123406,1
"MA0667.1","MYF6","Astro",-0.0549780806191342,0.742986425339367,1
"MA0668.1","NEUROD2","Astro",-0.14303096418875,0.19958864664747,1
"MA0669.1","NEUROG2","Astro",-0.146252553523107,0.16717400246812,1
"MA0670.1","NFIA","Astro",0.254380837415077,0.276593994241053,1
"MA0671.1","NFIX","Astro",0.0649340948552566,0.672974084738791,1
"MA0048.2","NHLH1","Astro",-0.0588764792385544,0.480707527766351,1
"MA0672.1","NKX2-3","Astro",-0.0738408771847653,0.4234471410942,1
"MA0673.1","NKX2-8","Astro",-0.0061007359333729,0.962566844919786,1
"MA0674.1","NKX6-1","Astro",-0.143044850313316,0.742986425339367,1
"MA0675.1","NKX6-2","Astro",-0.143044850313316,0.742986425339367,1
"MA0678.1","OLIG2","Astro",-0.115018329963998,0.276593994241053,1
"MA0068.2","PAX4","Astro",-0.158737554905701,0.814808720691074,1
"MA0680.1","PAX7","Astro",-0.102153136247274,0.321266968325792,1
"MA0683.1","POU4F2","Astro",-0.057035799786348,0.4234471410942,1
"MA0685.1","SP4","Astro",0.0469256440895795,1,1
"MA0686.1","SPDEF","Astro",-0.0253251568752767,0.742986425339367,1
"MA0687.1","SPIC","Astro",-0.0414879564484895,0.605841217605923,1
"MA0083.3","SRF","Astro",0.0373530498390239,1,1
"MA0009.2","TBXT","Astro",-0.105626288142585,0.235870012340601,1
"MA0688.1","TBX2","Astro",-0.0008088537158083,1,1
"MA0689.1","TBX20","Astro",0.00539602188048194,0.962566844919786,1
"MA0690.1","TBX21","Astro",-0.0217627279194144,1,1
"MA0691.1","TFAP4","Astro",-0.0183430898076855,0.888358700123406,1
"MA0145.3","TFCP2","Astro",0.0251407546655522,0.814808720691074,1
"MA0692.1","TFEB","Astro",0.117078451700998,0.321266968325792,1
"MA0694.1","ZBTB7B","Astro",-0.031869004267444,0.672974084738791,1
"MA0695.1","ZBTB7C","Astro",-0.0131416021654555,0.742986425339367,1
"MA0696.1","ZIC1","Astro",0.0392077712838844,0.962566844919786,1
"MA0697.1","ZIC3","Astro",0.033037168055007,0.888358700123406,1
"MA0698.1","ZBTB18","Astro",-0.0704443992562001,0.605841217605923,1
"MA0699.1","LBX2","Astro",-0.158783895300597,0.888358700123406,1
"MA0706.1","MEOX2","Astro",-0.0877127653005931,0.672974084738791,1
"MA0707.1","MNX1","Astro",-0.056617976887964,0.888358700123406,1
"MA0708.1","MSX2","Astro",-0.108816239639746,0.888358700123406,1
"MA0710.1","NOTO","Astro",-0.151825580590511,0.742986425339367,1
"MA0711.1","OTX1","Astro",0.0411572762801866,0.605841217605923,1
"MA0132.2","PDX1","Astro",-0.0474221067791205,0.962566844919786,1
"MA0713.1","PHOX2A","Astro",-0.00344106411300227,0.742986425339367,1
"MA0714.1","PITX3","Astro",0.0332728112984372,0.962566844919786,1
