cohort	celltype	perm	labels	n_sig_fdr005	n_sig_fdr01	n_sig_secretome_fdr005	n_sig_secretome_fdr01
GSE268609	OPC	68	11011110001001010	0	0	0	0
GSE268609	OPC	69	10000110110101011	0	0	0	0
GSE268609	OPC	70	11011001110000011	0	0	0	0
GSE268609	OPC	71	00111100110100101	0	0	0	0
GSE268609	OPC	72	11011010100100011	0	0	0	0
GSE268609	OPC	73	10000101101001111	156	395	6	23
GSE268609	OPC	74	00100001111110110	41	86	3	5
GSE268609	OPC	75	00110111010111000	0	0	0	0
GSE268609	OPC	76	10011100001111100	0	0	0	0
GSE268609	OPC	77	10001011011000111	0	0	0	0
GSE268609	OPC	78	11011011110010000	2	2	0	0
GSE268609	OPC	79	10101010010110101	0	0	0	0
GSE268609	OPC	80	10000101111010110	1	2	0	0
GSE268609	OPC	81	01100011100101011	1	6	0	1
GSE268609	OPC	82	01000111111000110	0	0	0	0
GSE268609	OPC	83	01110001011101010	0	0	0	0
GSE268609	OPC	84	10110000110110101	0	0	0	0
GSE268609	OPC	85	11111010000001110	0	0	0	0
GSE268609	OPC	86	11100001011010101	0	0	0	0
GSE268609	OPC	87	10010110010111001	0	0	0	0
GSE268609	OPC	88	10010011010011011	0	0	0	0
GSE268609	OPC	89	10000010101110111	20	40	2	4
GSE268609	OPC	90	10100101100110011	0	0	0	0
GSE268609	OPC	91	01100101111001010	0	0	0	0
GSE268609	OPC	92	00100010110110111	5	10	0	0
GSE268609	OPC	93	00100011011010111	0	0	0	0
GSE268609	OPC	94	10000111101001110	0	0	0	0
GSE268609	OPC	95	01001011111010001	0	0	0	0
GSE268609	OPC	96	01010100101111100	1	1	0	0
GSE268609	OPC	97	11110110000011001	0	0	0	0
GSE268609	OPC	98	00110111001100011	0	0	0	0
GSE268609	OPC	99	10110100110110100	0	0	0	0
GSE268609	Endo	0	1011111000101001	1	1	0	0
GSE268609	Endo	1	1100011010100111	0	0	0	0
GSE268609	Endo	2	1110010010101011	0	0	0	0
GSE268609	Endo	3	1001101011010101	0	0	0	0
GSE268609	Endo	4	0001001101110111	1	1	0	0
GSE268609	Endo	5	1011110001010101	0	0	0	0
GSE268609	Endo	6	1110110010110001	0	0	0	0
GSE268609	Endo	7	1010101011001110	0	0	0	0
GSE268609	Endo	8	1110011011010010	1	1	0	0
GSE268609	Endo	9	1011001001111001	0	0	0	0
GSE268609	Endo	10	1001001110011110	0	0	0	0
GSE268609	Endo	11	1111111000110000	0	0	0	0
GSE268609	Endo	12	0001111010111010	0	0	0	0
GSE268609	Endo	13	0000111011101011	3	3	0	0
GSE268609	Endo	14	0100101111001011	0	0	0	0
GSE268609	Endo	15	1100101001010111	0	0	0	0
GSE268609	Endo	16	0010110111100110	0	0	0	0
GSE268609	Endo	17	0100100111011011	0	0	0	0
GSE268609	Endo	18	1111110010001010	0	0	0	0
GSE268609	Endo	19	1110000110111001	0	0	0	0
GSE268609	Endo	20	0011001111100011	0	0	0	0
GSE268609	Endo	21	0011011001110110	0	1	0	0
GSE268609	Endo	22	0110100111001101	0	0	0	0
GSE268609	Endo	23	1000101001011111	0	0	0	0
GSE268609	Endo	24	1011101110010100	0	0	0	0
GSE268609	Endo	25	1001110111100001	1	1	0	0
GSE268609	Endo	26	0011101101010101	2	2	0	0
GSE268609	Endo	27	0100110010111110	169	283	9	17
GSE268609	Endo	28	0110010111110010	0	0	0	0
GSE268609	Endo	29	0011001101100111	0	0	0	0
GSE268609	Endo	30	0110100010011111	12	28	2	4
GSE268609	Endo	31	0011001111001101	0	0	0	0
GSE268609	Endo	32	0101001111001110	0	0	0	0
GSE268609	Endo	33	1010011011110100	0	0	0	0
GSE268609	Endo	34	1011101001110010	0	1	0	0
GSE268609	Endo	35	0011010010111011	2	2	0	0
GSE268609	Endo	36	1101001111000011	0	0	0	0
GSE268609	Endo	37	1001111010011010	0	0	0	0
GSE268609	Endo	38	1110011011100100	2	3	0	0
GSE268609	Endo	39	1011101001101001	113	225	5	10
GSE268609	Endo	40	1011011100001011	0	0	0	0
GSE268609	Endo	41	0011100110101011	0	0	0	0
GSE268609	Endo	42	0000111111001011	8	12	1	1
GSE268609	Endo	43	1001011010110101	0	0	0	0
GSE268609	Endo	44	1010010101111001	0	0	0	0
GSE268609	Endo	45	0010101110101011	0	0	0	0
GSE268609	Endo	46	0000101010111111	54	92	10	18
GSE268609	Endo	47	1101011110010001	1	1	0	0
GSE268609	Endo	48	0011010101001111	0	0	0	0
GSE268609	Endo	49	1001110111011000	0	0	0	0
GSE268609	Endo	50	1110101101000110	1	1	0	0
GSE268609	Endo	51	1010110110011010	49	60	7	8
GSE268609	Endo	52	1010001110100111	1	1	1	1
GSE268609	Endo	53	1101011000100111	0	1	0	0
GSE268609	Endo	54	0110100111010110	0	0	0	0
GSE268609	Endo	55	0110111100110010	0	0	0	0
GSE268609	Endo	56	0001111110101100	0	0	0	0
GSE268609	Endo	57	1101100101100011	0	0	0	0
GSE268609	Endo	58	0010001111101101	0	0	0	0
GSE268609	Endo	59	0111010100101101	0	0	0	0
GSE268609	Endo	60	1001101100010111	0	0	0	0
GSE268609	Endo	61	1010011101100101	0	0	0	0
GSE268609	Endo	62	1110001110100101	2	5	0	0
GSE268609	Endo	63	0111101011011000	2	6	0	0
GSE268609	Endo	64	1011100110111000	20	33	6	7
GSE268609	Endo	65	0101010001111011	0	0	0	0
GSE268609	Endo	66	1110110000111100	0	0	0	0
GSE268609	Endo	67	0101001011100111	0	0	0	0
GSE268609	Endo	68	0110011110101001	0	0	0	0
GSE268609	Endo	69	1101110101100001	2	11	0	0
GSE268609	Endo	70	1011111111000000	4	5	2	3
GSE268609	Endo	71	0101000111111100	0	0	0	0
GSE268609	Endo	72	1110001101011010	0	0	0	0
GSE268609	Endo	73	1000111010101011	0	3	0	1
GSE268609	Endo	74	0110001111101001	0	0	0	0
GSE268609	Endo	75	1110111010000110	0	0	0	0
GSE268609	Endo	76	1100010110100111	1	1	1	1
GSE268609	Endo	77	1001111100100011	10	12	0	0
GSE268609	Endo	78	0100010101111110	0	0	0	0
GSE268609	Endo	79	1011110111000001	0	0	0	0
GSE268609	Endo	80	1000101100011111	1	4	0	0
GSE268609	Endo	81	1110100110011100	63	143	6	12
GSE268609	Endo	82	1011110001001011	0	0	0	0
GSE268609	Endo	83	1111000111100100	0	2	0	0
GSE268609	Endo	84	1110000111001110	0	0	0	0
GSE268609	Endo	85	0100001011111101	15	27	1	1
GSE268609	Endo	86	0011101011100110	0	0	0	0
GSE268609	Endo	87	0100111011100101	0	0	0	0
GSE268609	Endo	88	0101110000110111	0	0	0	0
GSE268609	Endo	89	1110001100011011	0	0	0	0
GSE268609	Endo	90	1011111100001100	0	0	0	0
GSE268609	Endo	91	1100101011110010	0	0	0	0
GSE268609	Endo	92	1101010010110101	0	0	0	0
GSE268609	Endo	93	0010111010101011	0	0	0	0
GSE268609	Endo	94	0011110001011011	0	0	0	0
GSE268609	Endo	95	1111001010100110	0	0	0	0
GSE268609	Endo	96	1100100111010101	0	0	0	0
GSE268609	Endo	97	1101101010011001	2	2	1	1
GSE268609	Endo	98	0011101101000111	1	1	0	0
GSE268609	Endo	99	1101101110000110	0	0	0	0
